route_index_global;name;zona_meteo;zone;difficulty;terreny;distance;elevation_gain;orientation;start_point;end_point;start_altitude;end_altitude
93;Pics de Casamanya;zona_nord;Montaup i Vall del Riu;COMPLEX;EXIGENT;16.6km;905m;E+S;Pàrquing de la carretera de Montaup, situat a l’encreuament de la carretera que baixa a les bordes de Mereig, a 1.920 m (a 150 m del km 8).;Pics de Casamanya, a 2750 m;1920;2750
94;Pla de la Cot;zona_centre;Pal i Coll de la Botella;SIMPLE;SIMPLE;1.4km;292m;N;Pàrquing de la Carbonera, a 1.780 m;Pla de la Cot, a 2.080 m;1780;2080
95;Port d'Incles;zona_nord;Vall d'Incles i Siscaró;CHALLENGING;COMPLEX;5.4km;506m;W+NW+S;Pàrquing de la vall d'Incles, a 1.750m;Port d'Incles, a 2.261m;1750;2261
96;Port de l'Arbella;zona_nord;Arcalís;COMPLEX;EXIGENT;6.5km;667m;SW+W;Aparcament d'Arcalís, a 1.940 m;Port de l'Arbella, a 2.600 m;1940;2600
97;Port de l'Estany Esbalçat;zona_nord;El Castellar;COMPLEX;EXIGENT;3.4km;702m;W+S;Pont del Castellar, a 1.854m;Port de l'Estany Esbalçat, a 2.510m;1854;2510
98;Port de Siguer;zona_nord;Vall de Rialb;CHALLENGING;COMPLEX;4.4km;702m;SE;Pàrquing de Sorteny, a 1780m;Port de Siguer, a 2.395m;1780;2395
99;Port Negre;zona_nord;Valls del Comapedrosa;CHALLENGING;COMPLEX;4.8km;900m;NE+SE;Pàrquing del Crest, embarcament del telecadira Josep Serra, a 1.550 m;Port Negre, a 2.454 m;1550;2454
100;Portella de la Coma de Varilles;zona_nord;Ransol;COMPLEX;EXIGENT;3.0km;683m;W+SW;Final carretera, a 1.953m;Portella de la Coma de Varilles, a 2.565m;1953;2565
101;Portella de Sanfons;zona_nord;Valls del Comapedrosa;COMPLEX;EXIGENT;10.9km;1010m;N+NE+E;Edificis de Prats Sobirans, a 1.560 m;Portella de Sanfons, a 2578 m;1560;2578
102;Primer estany de Montmantell;zona_nord;Valls del Comapedrosa;COMPLEX;EXIGENT;5.4km;1061m;SW+S;Edificis de Prats Sobirans, a 1.560 m;Primer estany de Montmantell, a 2630 m;1560;2630
103;Refugi d'Ensagents;zona_centre;Cortals d'Encamp;SIMPLE;SIMPLE;3.7km;535m;N+W;Carretera dels Cortals d’Encamp (km 6, a 1.887 m). Estacionarem el vehicle al costat de la carretera, en un lloc que no molesti;Refugi d’Ensagents, a 2425 m;1887;2425
104;Refugi de Cabana Sorda;zona_nord;Vall d'Incles i Siscaró;CHALLENGING;COMPLEX;3.6km;537m;S;Pàrquing de la vall d'Incles, a 1.750m;Refugi de Cabana Sorda, a 2.293m;1750;2293
105;Refugi de Cabana Sorda;zona_nord;Entor;SIMPLE;SIMPLE;4.8km;541m;S+SE;Borda del Marticella, a 1.940m;Refugi de Cabana Sorda, a 2.293m;1940;2293
106;Refugi de Cóms de Jan;zona_nord;Ransol;CHALLENGING;COMPLEX;2.1km;329m;S+SW;Final carretera, a 1.953m;Refugi de Cóms de Jan, a 2.116m;1953;2116
107;Refugi de Fontverd;zona_centre;Valls de Madriu, Perafita i Claror;CHALLENGING;COMPLEX;4.1km;650m;S+W;Encreuament de la carretera CS200 Amb la carretera CS101, a 1.232 m;Refugi de Fontverd, a 1.871 m;1232;1871
