route_index_global,rating_neu,rating_perill,rating_vent,rating_final
0,5,2,SE+N,1.5
1,5,2,W+N,1.5
2,5,1,W,0.5
3,5,2,N,1.5
4,5,3,S+SE,2.5
5,5,2,SW+W+NW,1.5
6,5,1,S+SE,0.5
7,5,3,N,2.5
8,5,2,N,1.5
9,5,1,N+NE,0.5
10,5,1,N+NE,0.5
11,5,2,S+E+W,1.5
12,5,3,S,2.5
13,5,1,W+SW+N,0.5
14,5,3,NW+N,2.5
15,5,2,S+SW+N+NE,1.5
16,5,2,S+SE+E,1.5
17,5,2,E+NE,1.5
18,5,2,S+SE+NW,1.5
19,5,3,E+N,2.5
20,5,2,S+E+N,1.5
21,0,1,S+W+E+N,0.0
22,5,2,S+E+W,1.5
23,5,2,W+N,1.5
24,5,1,N+NE,0.5
25,5,2,SE+S,1.5
26,0,1,SE,0.0
27,5,3,N,2.5
28,5,1,W+N,0.5
29,5,3,SW+W,2.5
30,5,1,SE,0.5
31,5,1,W+N,0.5
32,5,2,E+S,1.5
33,5,3,N,2.5
34,5,2,S,1.5
35,5,2,SE,1.5
36,0,1,NW,0.0
37,5,2,SE+NW+N,1.5
38,5,2,E+S+NE,1.5
39,5,2,W+S+NW,1.5
40,5,1,S+W+NW,0.5
41,5,2,N,1.5
42,5,1,NW,0.5
43,0,1,N,0.0
44,5,2,N,1.5
45,5,2,E+S+NE,1.5
46,5,2,E+S,1.5
47,5,2,SW+N+NE,1.5
48,5,1,W,0.5
49,5,2,S,1.5
50,5,1,SW+W,0.5
51,5,2,S+SW,1.5
52,5,1,N,0.5
53,5,2,S+SW,1.5
54,5,2,W+N,1.5
55,5,2,S+SE,1.5
56,5,2,S+SE,1.5
57,5,1,W+SW,0.5
58,5,2,S+W,1.5
59,0,1,W+SW+NW,0.0
60,5,1,SW+NW,0.5
61,5,2,S+SE+SW,1.5
62,5,2,S,1.5
63,5,2,S+SE,1.5
64,5,2,W+S+SW,1.5
65,5,2,S+SW,1.5
66,5,1,NW,0.5
67,5,2,W,1.5
68,5,1,N+NW,0.5
69,5,2,W+S,1.5
70,5,2,SW+S+W,1.5
71,5,2,S+SE,1.5
72,5,2,E+S,1.5
73,5,2,S+SE,1.5
74,5,1,E+N,0.5
75,0,1,W+NW+N+NE,0.0
76,5,2,S+N,1.5
77,5,1,S+SE,0.5
78,5,2,E+SE+SW,1.5
79,5,2,S+SE,1.5
80,5,2,S+N,1.5
81,5,2,S+SE+N,1.5
82,5,2,N,1.5
83,5,2,W+N,1.5
84,5,2,S+SE+SW,1.5
85,5,3,SW,2.5
86,5,2,SW+S+SE,1.5
87,5,2,W,1.5
88,5,1,W+SW+N,0.5
89,5,1,S+SW,0.5
90,5,1,NW+NE,0.5
91,5,2,SE+N,1.5
92,5,3,S,2.5
93,5,2,E+S,1.5
94,5,3,N,2.5
95,5,1,W+S+NW,0.5
96,5,2,SW+W,1.5
97,5,2,W+S,1.5
98,5,1,SE,0.5
99,5,1,SE+NE,0.5
100,5,2,W+SW,1.5
101,5,2,E+N+NE,1.5
102,5,2,SW+S,1.5
103,5,3,W+N,2.5
104,5,1,S,0.5
105,5,3,S+SE,2.5
106,5,1,S+SW,0.5
107,0,1,S+W,0.0
108,5,1,S+N,0.5
109,5,2,S+W+N+NE,1.5
110,5,2,S+SW,1.5
111,5,1,S+N,0.5
112,5,2,E+N+NE,1.5
113,5,1,S+SW+E,0.5
114,5,3,N,2.5
115,5,2,E+SE+NE,1.5
116,5,3,N,2.5
117,5,2,S+W+E+N,1.5
118,5,1,W+N+NE,0.5
119,5,1,S+N,0.5
120,5,1,S+W,0.5
