route_index_global,rating_neu,rating_perill,rating_vent,rating_final
0,2,0,SE,0.0
1,5,2,,2.0
2,5,1,,1.0
3,5,0,,0.0
4,5,2,S+SE,1.5
5,5,0,SW,0.0
6,5,0,S+SE,0.0
7,5,3,,3.0
8,5,0,,0.0
9,5,1,NE,0.5
10,5,0,NE,0.0
11,5,0,S+E,0.0
12,5,2,S,1.5
13,5,1,SW,0.5
14,5,2,,2.0
15,5,0,S+NE+SW,0.0
16,5,0,S+SE+E,0.0
17,5,0,NE+E,0.0
18,5,0,S+SE,0.0
19,5,2,E,1.5
20,5,0,S+E,0.0
21,0,1,S+E,0.0
22,5,0,S+E,0.0
23,5,2,,2.0
24,5,0,NE,0.0
25,5,0,SE+S,0.0
26,0,1,SE,0.0
27,5,2,,2.0
28,5,1,,1.0
29,5,2,SW,1.5
30,5,0,SE,0.0
31,5,1,,1.0
32,2,0,E+S,0.0
33,5,3,,3.0
34,5,0,S,0.0
35,5,0,SE,0.0
36,1,1,,1.0
37,5,0,SE,0.0
38,2,0,E+NE+S,0.0
39,5,0,S,0.0
40,5,0,S,0.0
41,5,0,,0.0
42,5,0,,0.0
43,1,1,,1.0
44,5,0,,0.0
45,2,0,E+NE+S,0.0
46,5,0,E+S,0.0
47,5,0,NE+SW,0.0
48,5,1,,1.0
49,5,0,S,0.0
50,5,0,SW,0.0
51,5,0,S+SW,0.0
52,5,0,,0.0
53,5,0,S+SW,0.0
54,5,0,,0.0
55,5,0,S+SE,0.0
56,5,0,S+SE,0.0
57,5,0,SW,0.0
58,5,0,S,0.0
59,0,1,SW,0.0
60,5,0,SW,0.0
61,5,0,S+SE+SW,0.0
62,5,0,S,0.0
63,5,0,S+SE,0.0
64,5,0,S+SW,0.0
65,5,0,S+SW,0.0
66,5,0,,0.0
67,5,0,,0.0
68,5,0,,0.0
69,5,0,S,0.0
70,2,0,S+SW,0.0
71,5,0,S+SE,0.0
72,2,0,E+S,0.0
73,5,0,S+SE,0.0
74,5,0,E,0.0
75,0,1,NE,0.0
76,5,0,S,0.0
77,5,0,S+SE,0.0
78,2,0,E+SE+SW,0.0
79,5,2,S+SE,1.5
80,5,0,S,0.0
81,2,0,S+SE,0.0
82,5,0,,0.0
83,5,0,,0.0
84,5,0,S+SE+SW,0.0
85,5,2,SW,1.5
86,2,0,S+SE+SW,0.0
87,5,0,,0.0
88,5,0,SW,0.0
89,5,0,S+SW,0.0
90,5,1,NE,0.5
91,5,0,SE,0.0
92,5,3,S,2.5
93,5,0,E+S,0.0
94,5,4,,4.0
95,5,0,S,0.0
96,5,0,SW,0.0
97,5,0,S,0.0
98,5,0,SE,0.0
99,2,0,NE+SE,0.0
100,5,0,SW,0.0
101,5,0,NE+E,0.0
102,2,0,S+SW,0.0
103,5,3,,3.0
104,5,0,S,0.0
105,5,2,S+SE,1.5
106,5,1,S+SW,0.5
107,0,3,S,0.0
108,5,0,S,0.0
109,5,0,S+NE,0.0
110,5,2,S+SW,1.5
111,5,0,S,0.0
112,5,0,NE+E,0.0
113,2,1,S+E+SW,0.5
114,5,3,,3.0
115,2,0,E+SE+NE,0.0
116,5,3,,3.0
117,5,2,S+E,1.5
118,5,0,NE,0.0
119,5,0,S,0.0
120,5,0,S,0.0
