route_index_global,rating_neu,rating_perill,rating_vent,rating_final
0,5,2,N+SE,2
1,5,2,N+W,2
2,5,1,W,1
3,5,2,N,2
4,5,3,S+SE,3
5,5,2,NW+SW+W,2
6,5,1,S+SE,1
7,5,3,N,3
8,5,2,N,2
9,5,1,N+NE,1
10,5,1,N+NE,1
11,5,2,E+S+W,2
12,5,3,S,3
13,5,1,N+W+SW,1
14,5,3,NW+N,3
15,5,2,N+NE+S+SW,2
16,5,2,E+S+SE,2
17,5,2,NE+E,2
18,5,2,NW+S+SE,2
19,5,3,N+E,3
20,5,2,N+E+S,2
21,0,1,N+E+S+W,0
22,5,2,E+S+W,2
23,5,2,N+W,2
24,5,1,N+NE,1
25,5,2,SE+S,2
26,1,1,SE,1
27,5,3,N,3
28,5,1,N+W,1
29,5,3,SW+W,3
30,5,1,SE,1
31,5,1,N+W,1
32,5,2,E+S,2
33,5,3,N,3
34,5,2,S,2
35,5,2,SE,2
36,2,1,NW,1
37,5,2,NW+N+SE,2
38,5,2,E+NE+S,2
39,5,2,NW+W+S,2
40,5,1,NW+S+W,1
41,5,2,N,2
42,5,1,NW,1
43,2,1,N,1
44,5,2,N,2
45,5,2,E+NE+S,2
46,5,2,E+S,2
47,5,2,N+NE+SW,2
48,5,1,W,1
49,5,2,S,2
50,5,1,SW+W,1
51,5,2,S+SW,2
52,5,1,N,1
53,5,2,S+SW,2
54,5,2,N+W,2
55,5,2,S+SE,2
56,5,2,S+SE,2
57,5,1,W+SW,1
58,5,2,S+W,2
59,0,1,NW+W+SW,0
60,5,1,NW+SW,1
61,5,2,S+SE+SW,2
62,5,2,S,2
63,5,2,S+SE,2
64,5,2,W+S+SW,2
65,5,2,S+SW,2
66,5,1,NW,1
67,5,2,W,2
68,5,1,N+NW,1
69,5,2,W+S,2
70,5,2,SW+S+W,2
71,5,2,S+SE,2
72,5,2,E+S,2
73,5,2,S+SE,2
74,5,1,E+N,1
75,0,1,NW+N+NE+W,0
76,5,2,N+S,2
77,5,1,S+SE,1
78,5,2,E+SE+SW,2
79,5,2,S+SE,2
80,5,2,N+S,2
81,5,2,N+S+SE,2
82,5,2,N,2
83,5,2,N+W,2
84,5,2,S+SE+SW,2
85,5,3,SW,3
86,5,2,SW+S+SE,2
87,5,2,W,2
88,5,1,N+W+SW,1
89,5,1,S+SW,1
90,5,1,NW+NE,1
91,5,2,N+SE,2
92,5,3,S,3
93,5,2,E+S,2
94,5,3,N,3
95,5,1,NW+W+S,1
96,5,2,SW+W,2
97,5,2,W+S,2
98,5,1,SE,1
99,5,1,NE+SE,1
100,5,2,W+SW,2
101,5,2,N+NE+E,2
102,5,2,SW+S,2
103,5,3,N+W,3
104,5,1,S,1
105,5,3,S+SE,3
106,5,1,S+SW,1
107,0,1,S+W,0
108,5,1,N+S,1
109,5,2,N+NE+S+W,2
110,5,2,S+SW,2
111,5,1,N+S,1
112,5,2,N+NE+E,2
113,5,1,E+S+SW,1
114,5,3,N,3
115,5,2,E+NE+SE,2
116,5,3,N,3
117,5,2,N+E+S+W,2
118,5,1,N+NE+W,1
119,5,1,N+S,1
120,5,1,S+W,1
