route_index_global,rating_neu,rating_perill,rating_vent,rating_final
0,0,2,N+SE,0
1,3,3,N,3
2,2,3,,3
3,2,2,N,2
4,2,3,SE,2
5,3,2,NW,2
6,2,1,SE,1
7,2,4,N,2
8,3,2,N,2
9,2,3,N+NE,2
10,2,1,N+NE,1
11,1,2,E,1
12,2,3,,3
13,0,3,N,0
14,5,3,NW+N,3
15,3,2,N+NE,2
16,2,2,SE+E,2
17,5,2,NE+E,2
18,3,2,NW+SE,2
19,5,3,N+E,3
20,3,2,N+E,2
21,0,3,N+E,0
22,2,2,E,2
23,2,3,N,2
24,3,1,N+NE,1
25,1,2,SE,1
26,0,3,SE,0
27,2,4,N,2
28,2,3,N,2
29,1,3,,2
30,1,1,SE,1
31,3,3,N,3
32,0,2,E,0
33,2,4,N,2
34,1,2,,2
35,1,2,SE,1
36,0,3,NW,0
37,3,2,NW+N+SE,2
38,0,2,NE+E,0
39,1,2,NW,1
40,1,1,NW,1
41,3,2,N,2
42,3,1,NW,1
43,0,3,N,0
44,5,2,N,2
45,0,2,NE+E,0
46,3,2,E,2
47,3,2,N+NE,2
48,2,3,,3
49,2,2,,3
50,1,1,,2
51,1,2,,2
52,4,1,N,1
53,1,2,,2
54,2,2,N,2
55,2,2,SE,2
56,1,2,SE,1
57,2,1,,2
58,1,2,,2
59,0,3,NW,0
60,3,1,NW,1
61,1,2,SE,1
62,2,2,,3
63,2,2,SE,2
64,1,2,,2
65,1,2,,2
66,2,1,NW,1
67,2,2,,3
68,2,1,N+NW,1
69,1,2,,2
70,0,2,,0
71,1,2,SE,1
72,0,2,E,0
73,2,2,SE,2
74,5,1,N+E,1
75,0,3,NW+N+NE,0
76,1,2,N,1
77,2,1,SE,1
78,0,2,E+SE,0
79,1,3,SE,1
80,1,2,N,1
81,0,2,N+SE,0
82,5,2,N,2
83,2,2,N,2
84,1,2,SE,1
85,5,3,,4
86,0,2,SE,0
87,3,2,,3
88,1,1,N,1
89,2,1,,2
90,3,3,NW+NE,3
91,3,2,N+SE,2
92,1,4,,2
93,2,2,E,2
94,1,4,N,1
95,1,3,NW,1
96,2,2,,3
97,1,2,,2
98,1,1,SE,1
99,0,1,NE+SE,0
100,2,2,,3
101,1,2,N+NE+E,1
102,0,2,,0
103,2,4,N,2
104,1,3,,2
105,2,4,SE,2
106,2,3,,3
107,0,3,,0
108,1,1,N,1
109,3,2,N+NE,2
110,1,3,,2
111,3,1,N,1
112,1,3,N+NE+E,1
113,0,3,E,0
114,0,4,N,0
115,0,2,NE+E+SE,0
116,2,4,N,2
117,1,3,N+E,1
118,3,1,N+NE,1
119,5,1,N,1
120,1,1,,2
