route_index_global,rating_neu,rating_perill,rating_vent,rating_final
0,3,0,N,0
1,5,0,W+N,0
2,5,0,W,0
3,5,0,N,0
4,5,1,,2
5,5,0,NW+SW+W,0
6,5,0,,0
7,5,1,N,1
8,5,0,N,0
9,5,0,N+NE,0
10,5,0,N+NE,0
11,5,0,W,0
12,5,1,,2
13,2,0,W+N+SW,0
14,5,1,NW+N,1
15,5,0,N+NE+SW,0
16,5,0,,0
17,5,0,NE,0
18,5,0,NW,0
19,5,1,N,1
20,5,0,N,0
21,0,0,W+N,0
22,5,0,W,0
23,5,0,N+W,0
24,5,0,N+NE,0
25,5,0,,0
26,0,0,,0
27,5,1,N,1
28,5,0,N+W,0
29,5,1,SW+W,1
30,5,0,,0
31,5,0,W+N,0
32,3,0,,0
33,5,1,N,1
34,5,0,,0
35,5,0,,0
36,0,0,NW,0
37,5,0,NW+N,0
38,3,0,NE,0
39,5,0,W+NW,0
40,5,0,W+NW,0
41,5,0,N,0
42,5,0,NW,0
43,0,0,N,0
44,5,0,N,0
45,3,0,NE,0
46,5,0,,0
47,5,0,N+NE+SW,0
48,5,0,W,0
49,5,0,,0
50,5,0,SW+W,0
51,5,0,SW,0
52,5,0,N,0
53,5,0,SW,0
54,5,0,N+W,0
55,5,0,,0
56,5,0,,0
57,5,0,W+SW,0
58,5,0,W,0
59,0,0,NW+W+SW,0
60,5,0,NW+SW,0
61,5,0,SW,0
62,5,0,,0
63,5,0,,0
64,5,0,W+SW,0
65,5,0,SW,0
66,5,0,NW,0
67,5,0,W,0
68,5,0,N+NW,0
69,5,0,W,0
70,3,0,SW+W,0
71,5,0,,0
72,3,0,,0
73,5,0,,0
74,5,0,N,0
75,0,0,W+NW+N+NE,0
76,5,0,N,0
77,5,0,,0
78,3,0,SW,0
79,5,0,,0
80,5,0,N,0
81,3,0,N,0
82,5,0,N,0
83,5,0,N+W,0
84,5,0,SW,0
85,5,1,SW,1
86,3,0,SW,0
87,5,0,W,0
88,5,0,N+W+SW,0
89,5,0,SW,0
90,5,0,NW+NE,0
91,5,0,N,0
92,5,1,,2
93,5,0,,0
94,5,2,N,2
95,5,0,W+NW,0
96,5,0,SW+W,0
97,5,0,W,0
98,5,0,,0
99,3,0,NE,0
100,5,0,W+SW,0
101,5,0,N+NE,0
102,3,0,SW,0
103,5,1,N+W,1
104,5,0,,0
105,5,1,,2
106,5,0,SW,0
107,0,0,W,0
108,5,0,N,0
109,5,0,N+NE+W,0
110,5,0,SW,0
111,5,0,N,0
112,5,0,N+NE,0
113,3,0,SW,0
114,5,1,N,1
115,3,0,NE,0
116,5,1,N,1
117,5,0,N+W,0
118,5,0,N+NE+W,0
119,5,0,N,0
120,5,0,W,0
