route_index_global,rating_neu,rating_perill,rating_vent,rating_final
0,0,3,N+SE,0.0
1,5,3,W+N,2.5
2,5,3,W,2.5
3,5,3,N,2.5
4,5,4,S+SE,3.5
5,5,3,NW+SW+W,2.5
6,5,3,S+SE,2.5
7,5,4,N,3.5
8,5,3,N,2.5
9,5,3,N+NE,2.5
10,5,3,N+NE,2.5
11,0,3,S+E+W,0.0
12,5,4,S,3.5
13,0,3,W+N+SW,0.0
14,5,4,NW+N,3.5
15,5,3,N+S+NE+SW,2.5
16,5,3,S+SE+E,2.5
17,5,3,NE+E,2.5
18,5,3,NW+S+SE,2.5
19,5,4,N+E,3.5
20,5,3,N+S+E,2.5
21,0,3,S+W+N+E,0.0
22,5,3,S+E+W,2.5
23,5,3,N+W,2.5
24,5,3,N+NE,2.5
25,5,3,SE+S,2.5
26,0,3,SE,0.0
27,5,4,N,3.5
28,5,3,N+W,2.5
29,0,4,SW+W,0.0
30,0,3,SE,0.0
31,5,3,W+N,2.5
32,0,3,E+S,0.0
33,5,4,N,3.5
34,0,3,S,0.0
35,0,3,SE,0.0
36,0,3,NW,0.0
37,5,3,NW+N+SE,2.5
38,0,3,E+NE+S,0.0
39,0,3,W+NW+S,0.0
40,0,3,S+W+NW,0.0
41,5,3,N,2.5
42,5,3,NW,2.5
43,0,3,N,0.0
44,5,3,N,2.5
45,0,3,E+NE+S,0.0
46,5,3,E+S,2.5
47,5,3,N+NE+SW,2.5
48,5,3,W,2.5
49,5,3,S,2.5
50,0,3,SW+W,0.0
51,5,3,S+SW,2.5
52,5,3,N,2.5
53,5,3,S+SW,2.5
54,5,3,N+W,2.5
55,5,3,S+SE,2.5
56,0,3,S+SE,0.0
57,5,3,W+SW,2.5
58,5,3,S+W,2.5
59,0,3,NW+W+SW,0.0
60,5,3,NW+SW,2.5
61,5,3,S+SE+SW,2.5
62,5,3,S,2.5
63,5,3,S+SE,2.5
64,0,3,W+S+SW,0.0
65,5,3,S+SW,2.5
66,5,3,NW,2.5
67,5,3,W,2.5
68,5,3,N+NW,2.5
69,5,3,W+S,2.5
70,0,3,SW+S+W,0.0
71,0,3,S+SE,0.0
72,0,3,E+S,0.0
73,5,3,S+SE,2.5
74,5,3,E+N,2.5
75,0,3,W+NW+N+NE,0.0
76,0,3,N+S,0.0
77,5,3,S+SE,2.5
78,0,3,E+SE+SW,0.0
79,5,3,S+SE,2.5
80,0,3,N+S,0.0
81,0,3,N+S+SE,0.0
82,5,3,N,2.5
83,5,3,N+W,2.5
84,5,3,S+SE+SW,2.5
85,5,4,SW,3.5
86,0,3,SW+S+SE,0.0
87,5,3,W,2.5
88,0,3,N+W+SW,0.0
89,5,3,S+SW,2.5
90,5,3,NW+NE,2.5
91,5,3,N+SE,2.5
92,5,4,S,3.5
93,5,3,E+S,2.5
94,5,4,N,3.5
95,0,3,W+NW+S,0.0
96,5,3,SW+W,2.5
97,5,3,W+S,2.5
98,0,3,SE,0.0
99,0,3,NE+SE,0.0
100,5,3,W+SW,2.5
101,0,3,N+NE+E,0.0
102,0,3,SW+S,0.0
103,5,4,N+W,3.5
104,0,3,S,0.0
105,5,4,S+SE,3.5
106,5,3,S+SW,2.5
107,0,3,S+W,0.0
108,0,3,N+S,0.0
109,5,3,N+S+NE+W,2.5
110,5,3,S+SW,2.5
111,5,3,N+S,2.5
112,0,3,N+NE+E,0.0
113,0,3,S+SW+E,0.0
114,5,4,N,3.5
115,0,3,E+SE+NE,0.0
116,5,4,N,3.5
117,5,3,S+N+W+E,2.5
118,5,3,N+NE+W,2.5
119,5,3,N+S,2.5
120,5,3,S+W,2.5
