route_index_global,rating_neu,rating_perill,rating_vent,rating_final
0,4,2,N+SE,2
1,5,2,N,2
2,5,1,,2
3,5,2,N,2
4,5,3,SE,3
5,5,2,NW,2
6,5,1,SE,1
7,5,4,N,4
8,5,2,N,2
9,5,3,N+NE,3
10,5,1,N+NE,1
11,5,2,E,2
12,5,3,,4
13,4,1,N,1
14,5,3,NW+N,3
15,5,2,N+NE,2
16,5,2,SE+E,2
17,5,2,NE+E,2
18,5,2,NW+SE,2
19,5,3,N+E,3
20,5,2,N+E,2
21,0,1,N+E,0
22,5,2,E,2
23,5,2,N,2
24,5,1,N+NE,1
25,5,2,SE,2
26,1,1,SE,1
27,5,4,N,4
28,5,1,N,1
29,5,3,,4
30,5,1,SE,1
31,5,1,N,1
32,4,2,E,2
33,5,3,N,3
34,5,2,,3
35,5,2,SE,2
36,1,1,NW,1
37,5,2,NW+N+SE,2
38,4,2,E+NE,2
39,5,2,NW,2
40,5,1,NW,1
41,5,2,N,2
42,5,1,NW,1
43,1,1,N,1
44,5,2,N,2
45,4,2,E+NE,2
46,5,2,E,2
47,5,2,N+NE,2
48,5,1,,2
49,5,2,,3
50,5,1,,2
51,5,2,,3
52,5,1,N,1
53,5,2,,3
54,5,2,N,2
55,5,2,SE,2
56,5,2,SE,2
57,5,1,,2
58,5,2,,3
59,0,1,NW,0
60,5,1,NW,1
61,5,2,SE,2
62,5,2,,3
63,5,2,SE,2
64,5,2,,3
65,5,2,,3
66,5,1,NW,1
67,5,2,,3
68,5,1,N+NW,1
69,5,2,,3
70,4,2,,3
71,5,2,SE,2
72,4,2,E,2
73,5,2,SE,2
74,5,1,E+N,1
75,0,1,NW+N+NE,0
76,5,2,N,2
77,5,1,SE,1
78,4,2,E+SE,2
79,5,2,SE,2
80,5,2,N,2
81,4,2,N+SE,2
82,5,2,N,2
83,5,2,N,2
84,5,2,SE,2
85,5,3,,4
86,4,2,SE,2
87,5,2,,3
88,5,1,N,1
89,5,1,,2
90,5,1,NW+NE,1
91,5,2,N+SE,2
92,5,3,,4
93,5,2,E,2
94,5,4,N,4
95,5,3,NW,3
96,5,2,,3
97,5,2,,3
98,5,1,SE,1
99,4,1,NE+SE,1
100,5,2,,3
101,4,2,N+NE+E,2
102,4,2,,3
103,5,3,N,3
104,5,3,,4
105,5,4,SE,4
106,5,3,,4
107,0,3,,0
108,5,1,N,1
109,5,2,N+NE,2
110,5,3,,4
111,5,1,N,1
112,4,3,N+NE+E,3
113,4,3,E,3
114,5,4,N,4
115,4,2,E+SE+NE,2
116,5,3,N,3
117,5,2,N+E,2
118,5,1,N+NE,1
119,5,1,N,1
120,5,1,,2
