route_index_global,rating_neu,rating_perill,rating_vent,rating_final
0,0,0,N+SE,0.0
1,5,2,N+W,1.5
2,5,1,W,0.5
3,5,0,N,0.0
4,5,2,SE+S,1.5
5,5,0,NW+SW+W,0.0
6,5,0,SE+S,0.0
7,5,3,N,2.5
8,5,0,N,0.0
9,5,1,N+NE,0.5
10,5,0,N+NE,0.0
11,0,0,E+S+W,0.0
12,5,2,S,1.5
13,0,1,N+W+SW,0.0
14,5,2,NW+N,1.5
15,5,0,N+NE+S+SW,0.0
16,5,0,SE+E+S,0.0
17,5,0,NE+E,0.0
18,5,0,NW+SE+S,0.0
19,5,2,N+E,1.5
20,5,0,N+E+S,0.0
21,0,1,N+E+S+W,0.0
22,5,0,E+S+W,0.0
23,5,2,N+W,1.5
24,5,0,N+NE,0.0
25,0,0,SE+S,0.0
26,0,1,SE,0.0
27,5,3,N,2.5
28,5,1,N+W,0.5
29,0,2,SW+W,0.0
30,0,0,SE,0.0
31,5,1,N+W,0.5
32,0,0,E+S,0.0
33,5,3,N,2.5
34,0,0,S,0.0
35,0,0,SE,0.0
36,0,1,NW,0.0
37,5,0,NW+N+SE,0.0
38,0,0,E+NE+S,0.0
39,0,0,NW+W+S,0.0
40,0,0,NW+S+W,0.0
41,5,0,N,0.0
42,5,0,NW,0.0
43,0,1,N,0.0
44,5,0,N,0.0
45,0,0,E+NE+S,0.0
46,5,0,E+S,0.0
47,5,0,N+NE+SW,0.0
48,5,1,W,0.5
49,5,0,S,0.0
50,0,0,SW+W,0.0
51,0,0,S+SW,0.0
52,5,0,N,0.0
53,0,0,S+SW,0.0
54,5,0,N+W,0.0
55,5,0,SE+S,0.0
56,0,0,SE+S,0.0
57,5,0,W+SW,0.0
58,0,0,S+W,0.0
59,0,1,NW+W+SW,0.0
60,5,0,NW+SW,0.0
61,0,0,SE+S+SW,0.0
62,5,0,S,0.0
63,5,0,SE+S,0.0
64,0,0,W+S+SW,0.0
65,0,0,S+SW,0.0
66,5,0,NW,0.0
67,5,0,W,0.0
68,5,0,N+NW,0.0
69,0,0,W+S,0.0
70,0,0,SW+S+W,0.0
71,0,0,SE+S,0.0
72,0,0,E+S,0.0
73,5,0,SE+S,0.0
74,5,0,E+N,0.0
75,0,1,NW+N+NE+W,0.0
76,0,0,N+S,0.0
77,5,0,SE+S,0.0
78,0,0,E+SE+SW,0.0
79,5,2,SE+S,1.5
80,0,0,N+S,0.0
81,0,0,N+SE+S,0.0
82,5,0,N,0.0
83,5,0,N+W,0.0
84,0,0,SE+S+SW,0.0
85,5,2,SW,1.5
86,0,0,SE+SW+S,0.0
87,5,0,W,0.0
88,0,0,N+W+SW,0.0
89,5,0,S+SW,0.0
90,5,1,NW+NE,0.5
91,5,0,N+SE,0.0
92,5,3,S,2.5
93,5,0,E+S,0.0
94,5,3,N,2.5
95,0,1,NW+W+S,0.0
96,5,0,SW+W,0.0
97,0,0,W+S,0.0
98,0,0,SE,0.0
99,0,0,NE+SE,0.0
100,5,0,W+SW,0.0
101,0,0,N+NE+E,0.0
102,0,0,SW+S,0.0
103,5,3,N+W,2.5
104,0,1,S,0.0
105,5,3,SE+S,2.5
106,5,1,S+SW,0.5
107,0,1,S+W,0.0
108,0,0,N+S,0.0
109,5,0,N+NE+S+W,0.0
110,0,2,S+SW,0.0
111,5,0,N+S,0.0
112,0,2,N+NE+E,0.0
113,0,1,E+S+SW,0.0
114,5,3,N,2.5
115,0,0,E+SE+NE,0.0
116,5,3,N,2.5
117,5,2,N+E+S+W,1.5
118,5,0,N+NE+W,0.0
119,5,0,N+S,0.0
120,0,0,S+W,0.0
