route_index_global,rating_neu,rating_perill,rating_vent,rating_final
0,0,2,SE+N,0
1,5,2,N,2
2,5,1,,2
3,5,2,N,2
4,5,3,S+SE,3
5,5,2,SW+NW,2
6,5,1,S+SE,1
7,5,4,N,4
8,5,2,N,2
9,5,3,N+NE,3
10,5,1,N+NE,1
11,4,2,S+E,2
12,5,3,S,3
13,0,1,SW+N,0
14,5,3,NW+N,3
15,5,2,S+SW+N+NE,2
16,5,2,S+SE+E,2
17,5,2,E+NE,2
18,5,2,S+SE+NW,2
19,5,3,E+N,3
20,5,2,S+E+N,2
21,0,1,S+E+N,0
22,5,2,S+E,2
23,5,2,N,2
24,5,1,N+NE,1
25,5,2,SE+S,2
26,0,1,SE,0
27,5,4,N,4
28,5,1,N,1
29,4,3,SW,3
30,4,1,SE,1
31,5,1,N,1
32,0,2,E+S,0
33,5,3,N,3
34,4,2,S,2
35,4,2,SE,2
36,0,1,NW,0
37,5,2,SE+NW+N,2
38,0,2,E+S+NE,0
39,4,2,S+NW,2
40,4,1,S+NW,1
41,5,2,N,2
42,5,1,NW,1
43,0,1,N,0
44,5,2,N,2
45,0,2,E+S+NE,0
46,5,2,E+S,2
47,5,2,SW+N+NE,2
48,5,1,,2
49,5,2,S,2
50,4,1,SW,1
51,5,2,S+SW,2
52,5,1,N,1
53,5,2,S+SW,2
54,5,2,N,2
55,5,2,S+SE,2
56,4,2,S+SE,2
57,5,1,SW,1
58,5,2,S,2
59,0,1,SW+NW,0
60,5,1,SW+NW,1
61,5,2,S+SE+SW,2
62,5,2,S,2
63,5,2,S+SE,2
64,4,2,S+SW,2
65,5,2,S+SW,2
66,5,1,NW,1
67,5,2,,3
68,5,1,N+NW,1
69,5,2,S,2
70,0,2,SW+S,0
71,4,2,S+SE,2
72,0,2,E+S,0
73,5,2,S+SE,2
74,5,1,E+N,1
75,0,1,NW+N+NE,0
76,4,2,S+N,2
77,5,1,S+SE,1
78,0,2,E+SE+SW,0
79,5,2,S+SE,2
80,4,2,S+N,2
81,0,2,S+SE+N,0
82,5,2,N,2
83,5,2,N,2
84,5,2,S+SE+SW,2
85,5,3,SW,3
86,0,2,SW+S+SE,0
87,5,2,,3
88,4,1,SW+N,1
89,5,1,S+SW,1
90,5,1,NW+NE,1
91,5,2,SE+N,2
92,5,3,S,3
93,5,2,E+S,2
94,5,4,N,4
95,4,3,S+NW,3
96,5,2,SW,2
97,5,2,S,2
98,4,1,SE,1
99,0,1,SE+NE,0
100,5,2,SW,2
101,4,2,E+N+NE,2
102,0,2,SW+S,0
103,5,3,N,3
104,4,3,S,3
105,5,4,S+SE,4
106,5,3,S+SW,3
107,0,3,S,0
108,4,1,S+N,1
109,5,2,S+N+NE,2
110,5,3,S+SW,3
111,5,1,S+N,1
112,4,3,E+N+NE,3
113,0,3,S+SW+E,0
114,5,4,N,4
115,0,2,E+SE+NE,0
116,5,3,N,3
117,5,2,S+E+N,2
118,5,1,N+NE,1
119,5,1,S+N,1
120,5,1,S,1
