route_index_global,rating_neu,rating_perill,rating_vent,rating_final
0,0,1,SE,0
1,3,3,,4
2,2,3,,3
3,2,1,,2
4,2,3,SE+S,2
5,3,1,SW,1
6,2,2,SE+S,2
7,2,4,,3
8,3,1,,2
9,2,3,NE,2
10,2,2,NE,2
11,1,1,E+S,1
12,2,3,S,2
13,0,3,SW,0
14,5,3,,4
15,3,1,NE+S+SW,1
16,2,1,SE+E+S,1
17,5,1,NE+E,1
18,3,1,SE+S,1
19,5,3,E,3
20,3,1,E+S,1
21,0,3,E+S,0
22,2,1,E+S,1
23,2,3,,3
24,3,2,NE,2
25,1,1,SE+S,1
26,0,3,SE,0
27,2,4,,3
28,2,3,,3
29,1,3,SW,1
30,1,2,SE,1
31,3,3,,4
32,0,1,E+S,0
33,2,4,,3
34,1,1,S,1
35,1,1,SE,1
36,0,3,,0
37,3,1,SE,1
38,0,1,E+NE+S,0
39,1,1,S,1
40,1,2,S,1
41,3,1,,2
42,3,2,,3
43,0,3,,0
44,5,1,,2
45,0,1,E+NE+S,0
46,3,1,E+S,1
47,3,1,NE+SW,1
48,2,3,,3
49,2,1,S,1
50,1,2,SW,1
51,1,1,S+SW,1
52,4,2,,3
53,1,1,S+SW,1
54,2,1,,2
55,2,1,SE+S,1
56,1,1,SE+S,1
57,2,2,SW,2
58,1,1,S,1
59,0,3,SW,0
60,3,2,SW,2
61,1,1,SE+S+SW,1
62,2,1,S,1
63,2,1,SE+S,1
64,1,1,S+SW,1
65,1,1,S+SW,1
66,2,2,,3
67,2,1,,2
68,2,2,,3
69,1,1,S,1
70,0,1,SW+S,0
71,1,1,SE+S,1
72,0,1,E+S,0
73,2,1,SE+S,1
74,5,2,E,2
75,0,3,NE,0
76,1,1,S,1
77,2,2,SE+S,2
78,0,1,E+SE+SW,0
79,1,3,SE+S,1
80,1,1,S,1
81,0,1,SE+S,0
82,5,1,,2
83,2,1,,2
84,1,1,SE+S+SW,1
85,5,3,SW,3
86,0,1,SE+SW+S,0
87,3,1,,2
88,1,2,SW,1
89,2,2,S+SW,2
90,3,3,NE,3
91,3,1,SE,1
92,1,4,S,1
93,2,1,E+S,1
94,1,4,,2
95,1,3,S,1
96,2,1,SW,1
97,1,1,S,1
98,1,2,SE,1
99,0,2,NE+SE,0
100,2,1,SW,1
101,1,1,NE+E,1
102,0,1,SW+S,0
103,2,4,,3
104,1,3,S,1
105,2,4,SE+S,2
106,2,3,S+SW,2
107,0,3,S,0
108,1,2,S,1
109,3,1,NE+S,1
110,1,3,S+SW,1
111,3,2,S,2
112,1,3,NE+E,1
113,0,3,E+S+SW,0
114,0,4,,0
115,0,1,E+SE+NE,0
116,2,4,,3
117,1,3,E+S,1
118,3,2,NE,2
119,5,2,S,2
120,1,2,S,1
