route_index_global,rating_neu,rating_perill,rating_vent,rating_final
0,0,2,N+SE,0
1,5,2,N,2
2,5,1,,2
3,5,2,N,2
4,5,3,SE,3
5,5,2,NW,2
6,5,1,SE,1
7,5,4,N,4
8,5,2,N,2
9,5,3,N+NE,3
10,5,1,N+NE,1
11,4,2,E,2
12,5,3,,4
13,0,1,N,0
14,5,3,NW+N,3
15,5,2,N+NE,2
16,5,2,SE+E,2
17,5,2,NE+E,2
18,5,2,NW+SE,2
19,5,3,N+E,3
20,5,2,N+E,2
21,0,1,N+E,0
22,5,2,E,2
23,5,2,N,2
24,5,1,N+NE,1
25,5,2,SE,2
26,0,1,SE,0
27,5,4,N,4
28,5,1,N,1
29,4,3,,4
30,4,1,SE,1
31,5,1,N,1
32,0,2,E,0
33,5,3,N,3
34,4,2,,3
35,4,2,SE,2
36,0,1,NW,0
37,5,2,NW+N+SE,2
38,0,2,E+NE,0
39,4,2,NW,2
40,4,1,NW,1
41,5,2,N,2
42,5,1,NW,1
43,0,1,N,0
44,5,2,N,2
45,0,2,E+NE,0
46,5,2,E,2
47,5,2,N+NE,2
48,5,1,,2
49,5,2,,3
50,4,1,,2
51,5,2,,3
52,5,1,N,1
53,5,2,,3
54,5,2,N,2
55,5,2,SE,2
56,4,2,SE,2
57,5,1,,2
58,5,2,,3
59,0,1,NW,0
60,5,1,NW,1
61,5,2,SE,2
62,5,2,,3
63,5,2,SE,2
64,4,2,,3
65,5,2,,3
66,5,1,NW,1
67,5,2,,3
68,5,1,N+NW,1
69,5,2,,3
70,0,2,,0
71,4,2,SE,2
72,0,2,E,0
73,5,2,SE,2
74,5,1,E+N,1
75,0,1,NW+N+NE,0
76,4,2,N,2
77,5,1,SE,1
78,0,2,E+SE,0
79,5,2,SE,2
80,4,2,N,2
81,0,2,N+SE,0
82,5,2,N,2
83,5,2,N,2
84,5,2,SE,2
85,5,3,,4
86,0,2,SE,0
87,5,2,,3
88,4,1,N,1
89,5,1,,2
90,5,1,NW+NE,1
91,5,2,N+SE,2
92,5,3,,4
93,5,2,E,2
94,5,4,N,4
95,4,3,NW,3
96,5,2,,3
97,5,2,,3
98,4,1,SE,1
99,0,1,NE+SE,0
100,5,2,,3
101,4,2,N+NE+E,2
102,0,2,,0
103,5,3,N,3
104,4,3,,4
105,5,4,SE,4
106,5,3,,4
107,0,3,,0
108,4,1,N,1
109,5,2,N+NE,2
110,5,3,,4
111,5,1,N,1
112,4,3,N+NE+E,3
113,0,3,E,0
114,5,4,N,4
115,0,2,E+SE+NE,0
116,5,3,N,3
117,5,2,N+E,2
118,5,1,N+NE,1
119,5,1,N,1
120,5,1,,2
