route_index_global,rating_neu,rating_perill,rating_vent,rating_final
0,0,0,N+SE,0
1,3,0,W+N,0
2,2,0,W,0
3,2,0,N,0
4,2,2,SE,2
5,3,0,NW+W,0
6,2,0,SE,0
7,2,2,N,2
8,3,0,N,0
9,2,0,N+NE,0
10,2,0,N+NE,0
11,1,0,E+W,0
12,2,2,,3
13,0,0,W+N,0
14,5,2,NW+N,2
15,3,0,N+NE,0
16,2,0,E+SE,0
17,5,0,NE+E,0
18,3,0,NW+SE,0
19,5,2,N+E,2
20,3,0,N+E,0
21,0,0,W+N+E,0
22,2,0,E+W,0
23,2,0,N+W,0
24,3,0,N+NE,0
25,1,0,SE,0
26,0,0,SE,0
27,2,2,N,2
28,2,0,N+W,0
29,1,2,W,1
30,1,0,SE,0
31,3,0,W+N,0
32,0,0,E,0
33,2,2,N,2
34,1,0,,0
35,1,0,SE,0
36,0,0,NW,0
37,3,0,NW+N+SE,0
38,0,0,E+NE,0
39,1,0,W+NW,0
40,1,0,W+NW,0
41,3,0,N,0
42,3,0,NW,0
43,0,0,N,0
44,5,0,N,0
45,0,0,E+NE,0
46,3,0,E,0
47,3,0,N+NE,0
48,2,0,W,0
49,2,0,,0
50,1,0,W,0
51,1,0,,0
52,4,0,N,0
53,1,0,,0
54,2,0,N+W,0
55,2,0,SE,0
56,1,0,SE,0
57,2,0,W,0
58,1,0,W,0
59,0,0,NW+W,0
60,3,0,NW,0
61,1,0,SE,0
62,2,0,,0
63,2,0,SE,0
64,1,0,W,0
65,1,0,,0
66,2,0,NW,0
67,2,0,W,0
68,2,0,N+NW,0
69,1,0,W,0
70,0,0,W,0
71,1,0,SE,0
72,0,0,E,0
73,2,0,SE,0
74,5,0,E+N,0
75,0,0,W+NW+N+NE,0
76,1,0,N,0
77,2,0,SE,0
78,0,0,E+SE,0
79,1,0,SE,0
80,1,0,N,0
81,0,0,N+SE,0
82,5,0,N,0
83,2,0,N+W,0
84,1,0,SE,0
85,5,2,,3
86,0,0,SE,0
87,3,0,W,0
88,1,0,N+W,0
89,2,0,,0
90,3,0,NW+NE,0
91,3,0,N+SE,0
92,1,2,,2
93,2,0,E,0
94,1,2,N,1
95,1,0,W+NW,0
96,2,0,W,0
97,1,0,W,0
98,1,0,SE,0
99,0,0,NE+SE,0
100,2,0,W,0
101,1,0,N+NE+E,0
102,0,0,,0
103,2,2,N+W,2
104,1,0,,0
105,2,2,SE,2
106,2,0,,0
107,0,0,W,0
108,1,0,N,0
109,3,0,N+NE+W,0
110,1,0,,0
111,3,0,N,0
112,1,0,N+NE+E,0
113,0,0,E,0
114,0,2,N,0
115,0,0,E+NE+SE,0
116,2,2,N,2
117,1,0,N+W+E,0
118,3,0,N+NE+W,0
119,5,0,N,0
120,1,0,W,0
