route_index_global,rating_neu,rating_perill,rating_vent,rating_final
0,3,0,N+SE,0
1,5,2,W+N,2
2,5,1,W,1
3,5,0,N,0
4,5,2,SE,2
5,5,0,NW+W,0
6,5,0,SE,0
7,5,3,N,3
8,5,0,N,0
9,5,1,N+NE,1
10,5,0,N+NE,0
11,5,0,E+W,0
12,5,2,,3
13,3,1,W+N,1
14,5,2,NW+N,2
15,5,0,N+NE,0
16,5,0,E+SE,0
17,5,0,NE+E,0
18,5,0,NW+SE,0
19,5,2,N+E,2
20,5,0,N+E,0
21,0,1,W+N+E,0
22,5,0,E+W,0
23,5,2,N+W,2
24,5,0,N+NE,0
25,5,0,SE,0
26,1,1,SE,1
27,5,3,N,3
28,5,1,N+W,1
29,5,2,W,2
30,5,0,SE,0
31,5,1,W+N,1
32,3,0,E,0
33,5,3,N,3
34,5,0,,0
35,5,0,SE,0
36,1,1,NW,1
37,5,0,NW+N+SE,0
38,3,0,E+NE,0
39,5,0,W+NW,0
40,5,0,W+NW,0
41,5,0,N,0
42,5,0,NW,0
43,1,1,N,1
44,5,0,N,0
45,3,0,E+NE,0
46,5,0,E,0
47,5,0,N+NE,0
48,5,1,W,1
49,5,0,,0
50,5,0,W,0
51,5,0,,0
52,5,0,N,0
53,5,0,,0
54,5,0,N+W,0
55,5,0,SE,0
56,5,0,SE,0
57,5,0,W,0
58,5,0,W,0
59,0,1,NW+W,0
60,5,0,NW,0
61,5,0,SE,0
62,5,0,,0
63,5,0,SE,0
64,5,0,W,0
65,5,0,,0
66,5,0,NW,0
67,5,0,W,0
68,5,0,N+NW,0
69,5,0,W,0
70,3,0,W,0
71,5,0,SE,0
72,3,0,E,0
73,5,0,SE,0
74,5,0,E+N,0
75,0,1,W+NW+N+NE,0
76,5,0,N,0
77,5,0,SE,0
78,3,0,E+SE,0
79,5,2,SE,2
80,5,0,N,0
81,3,0,N+SE,0
82,5,0,N,0
83,5,0,N+W,0
84,5,0,SE,0
85,5,2,,3
86,3,0,SE,0
87,5,0,W,0
88,5,0,N+W,0
89,5,0,,0
90,5,1,NW+NE,1
91,5,0,N+SE,0
92,5,3,,4
93,5,0,E,0
94,5,3,N,3
95,5,1,W+NW,1
96,5,0,W,0
97,5,0,W,0
98,5,0,SE,0
99,3,0,NE+SE,0
100,5,0,W,0
101,3,0,N+NE+E,0
102,3,0,,0
103,5,3,N+W,3
104,5,1,,2
105,5,3,SE,3
106,5,1,,2
107,0,1,W,0
108,5,0,N,0
109,5,0,N+NE+W,0
110,5,2,,3
111,5,0,N,0
112,3,2,N+NE+E,2
113,3,1,E,1
114,4,3,N,3
115,3,0,E+NE+SE,0
116,5,3,N,3
117,5,2,N+W+E,2
118,5,0,N+NE+W,0
119,5,0,N,0
120,5,0,W,0
