route_index_global;name;zone;difficulty;distance;elevation_gain;orientation;start_point;end_point;start_altitude;end_altitude
59;Pic de la Maiana;Valls de Madriu, Perafita i Claror;CHALLENGING;6.1km;1288m;NO+O+SO;Encreuament de la carretera CS200 Amb la carretera CS101, a 1.232 m;Pic de la Maiana, 2.522 m;1232;2522
60;Pic de la Menera;Grau Roig;CHALLENGING;3.0km;661m;NO+SO;Aparcament de Grau Roig, a 2.100 m;Pic de la Menera, a 2.775 m;2100;2775
61;Pic de la Pala Alta;Montaup i Vall del Riu;COMPLEX;9.2km;887m;S+SE+SO;Els Plans, a 1.825 m (Ransol). Combinació de dos vehicles.;Pic de la Pala Alta, a 2685 m;1825;2685
62;Pic de la Pala de Jan;Ransol;COMPLEX;3.5km;883m;S;Final carretera, a 1.953m;Pic de la Pala de Jan, a 2.776m;1953;2776
63;Pic de la Serrera;Ransol;COMPLEX;4.9km;1019m;S+SE;Final carretera, a 1.953m;Pic de la Serrera, a 2.912m;1953;2912
64;Pic de la Serrera;Sorteny;COMPLEX;8.3km;1125m;O+S+SO;Pàrquing de Sorteny, a 1780m;Pic de la Serrera, a 2913m;1780;2913
65;Pic de la Torradella;Montaup i Vall del Riu;COMPLEX;5.5km;716m;S+SO;Els Plans, a 1.825 m (Ransol). Combinació de dos vehicles.;Pic de la Torradella, a 2546 m;1825;2546
66;Pic de la Tosa de d'Incles;Vall d'Incles i Siscaró;CHALLENGING;6.6km;810m;NO;Pàrquing de la vall d'Incles, a 1.750m;Pic de la Tosa de d'Incles, a 2.568m;1750;2568
67;Pic de la Tosa de Juclà;Vall d'Incles i Siscaró;COMPLEX;6.2km;946m;O;Pàrquing de la vall d'Incles, a 1.750m;Pic de la Tosa de Juclà, a 2.698m;1750;2698
68;Pic de les Canals Roges;Vall d'Incles i Siscaró;CHALLENGING;7.6km;992m;N+NO;Pàrquing de la vall d'Incles, a 1.750m;Pic de les Canals Roges, a 2.747m;1750;2747
69;Pic de les Fangasses;El Castellar;COMPLEX;3.2km;829m;O+S;Pont del Castellar, a 1.854m;Pic de les Fangasses, a 2.683m;1854;2683
70;Pic de les Fonts;Valls del Comapedrosa;COMPLEX;6.5km;1175m;SO+S+O;Edificis de Prats Sobirans, a 1.560 m;Pic de les Fonts, a 2749 m;1560;2749
71;Pic de les Pales de Cabana Sorda;Vall d'Incles i Siscaró;COMPLEX;8.0km;917m;S+SE;Pàrquing de la vall d'Incles, a 1.750m;Pic de les Pales de Cabana Sorda, a 2.681m;1750;2681
72;Pic de Medacorba;Valls del Comapedrosa;COMPLEX;6.8km;1360m;E+S;Edificis de Prats Sobirans, a 1.560 m;Pic de Medacorba, a 2914 m;1560;2914
73;Pic de Mil-Menut;Ransol;COMPLEX;4.3km;885m;S+SE;Final carretera, a 1.953m;Pic de Mil-Menut, a 2.778m;1953;2778
74;Pic de Montmalús;Grau Roig;CHALLENGING;3.6km;670m;E+N;Aparcament de Grau Roig, a 2.100 m;Pic de Montmalús, a 2.781 m;2100;2781
75;Pic de Monturull;Valls de Madriu, Perafita i Claror;CHALLENGING;9.5km;1521m;O+NO+N+NE;Encreuament de la carretera CS200 Amb la carretera CS101, a 1.232 m;Pic de Monturull, 2.754 m;1232;2754
76;Pic de Noé;Vall d'Incles i Siscaró;COMPLEX;8.9km;976m;N+S;Pàrquing de la vall d'Incles, a 1.750m;Pic de Noé, a 2.737m;1750;2737
77;Pic de Querol;Entor;CHALLENGING;3.9km;699m;S+SE;Borda del Marticella, a 1.940m;Pic de Querol, a 2.641m;1940;2641
78;Pic de Racofred;Valls del Comapedrosa;COMPLEX;6.7km;1287m;E+SE+SO;Edificis de Prats Sobirans, a 1.560 m;Pic de Racofred, a 2838 m;1560;2838
79;Pic de Roc Mélé i Pic de la Cabaneta;Solana d'Andorra;COMPLEX;10.3km;1105m;S+SE;Duana, a 1.945 m;Pic de la Cabaneta, a 2.817 m;1945;2817
80;Pic de Ruf;Vall d'Incles i Siscaró;COMPLEX;8.5km;846m;N+S;Pàrquing de la vall d'Incles, a 1.750m;Pic de Ruf, a 2.621m;1750;2621
81;Pic de Sanfons;Valls del Comapedrosa;COMPLEX;6.9km;1336m;N+S+SE;Edificis de Prats Sobirans, a 1.560 m;Pic de Sanfons, a 2889 m;1560;2889
82;Pic de Serra Seca;Grau Roig;COMPLEX;3.1km;682m;N;Aparcament de Grau Roig, a 2.100 m;Pic de Serra Seca, a 2.776 m;2100;2776
83;Pic de Siscaró;Vall d'Incles i Siscaró;COMPLEX;10.9km;869m;N+O;Pàrquing de la vall d'Incles, a 1.750m;Pic de Siscaró, a 2.637m;1750;2637
84;Pic del Cap dels Llacs;Montaup i Vall del Riu;COMPLEX;7.4km;753m;S+SE+SO;Els Plans, a 1.825 m (Ransol). Combinació de dos vehicles.;Pic del Cap dels Llacs, a 2585 m;1825;2585
85;Pic del Maià;Envalira;SIMPLE;1.8km;223m;SO;Port d’Envalira, a 2.408 m;Pic del Maià, a 2.617 m;2408;2617
86;Pic del Pla de l’Estany;Valls del Comapedrosa;COMPLEX;6.8km;1281m;SO+S+SE;Edificis de Prats Sobirans, a 1.560 m;Pic del Pla de l’Estany, a 2860 m);1560;2860
87;Pic del Port de Siguer;Vall de Rialb;COMPLEX;4.5km;889m;O;Pàrquing de Sorteny, a 1780m;Pic del Port de Siguer, a 2.638m;1780;2638
88;Pic del Sal;Sorteny;CHALLENGING;5.8km;952m;N+O+SO;Pàrquing de Sorteny, a 1780m;Pic del Sal, a 2741m;1780;2741
89;Pic dels Isards;Montaup i Vall del Riu;CHALLENGING;6.9km;561m;S+SO;Pàrquing de la carretera de Montaup, situat a l’encreuament de la carretera que baixa a les bordes de Mereig, a 1.920 m (a 150 m del km 8).;Pic dels Isards, a 2468 m;1920;2468
90;Pic dels Llacs;Pal i Coll de la Botella;CHALLENGING;6.7km;832m;NO+NE;Pàrquing del Coll de la Botella, a 2.090 m (estació de Pal);Pic dels Llacs, a 2.692 m;2090;2692
91;Pic dels Pessons;Grau Roig;COMPLEX;4.7km;751m;N+SE;Aparcament de Grau Roig, a 2.100 m;Pic dels Pessons, a 2.862 m;2100;2862
92;Pic Negre;La Rabassa;SIMPLE;5.7km;653m;S;Aparcament de Naturlàndia, a 2040 m;Pic Negre, a 2.644 m;2040;2644
93;Pics de Casamanya;Montaup i Vall del Riu;COMPLEX;16.6km;905m;E+S;Pàrquing de la carretera de Montaup, situat a l’encreuament de la carretera que baixa a les bordes de Mereig, a 1.920 m (a 150 m del km 8).;Pics de Casamanya, a 2750 m;1920;2750
94;Pla de la Cot;Pal i Coll de la Botella;SIMPLE;1.4km;292m;N;Pàrquing de la Carbonera, a 1.780 m;Pla de la Cot, a 2.080 m;1780;2080
95;Port d'Incles;Vall d'Incles i Siscaró;CHALLENGING;5.4km;506m;O+NO+S;Pàrquing de la vall d'Incles, a 1.750m;Port d'Incles, a 2.261m;1750;2261
96;Port de l'Arbella;Arcalís;COMPLEX;6.5km;667m;SO+O;Aparcament d'Arcalís, a 1.940 m;Port de l'Arbella, a 2.600 m;1940;2600
97;Port de l'Estany Esbalçat;El Castellar;COMPLEX;3.4km;702m;O+S;Pont del Castellar, a 1.854m;Port de l'Estany Esbalçat, a 2.510m;1854;2510
98;Port de Siguer;Vall de Rialb;CHALLENGING;4.4km;702m;SE;Pàrquing de Sorteny, a 1780m;Port de Siguer, a 2.395m;1780;2395
99;Port Negre;Valls del Comapedrosa;CHALLENGING;4.8km;350m;NE+SE;Pàrquing del Crest, embarcament del telecadira Josep Serra, a 1.550 m;Port Negre, a 2.454 m;1550;2454
100;Portella de la Coma de Varilles;Ransol;COMPLEX;3.0km;683m;O+SO;Final carretera, a 1.953m;Portella de la Coma de Varilles, a 2.565m;1953;2565
101;Portella de Sanfons;Valls del Comapedrosa;COMPLEX;10.9km;1010m;N+NE+E;Edificis de Prats Sobirans, a 1.560 m;Portella de Sanfons, a 2578 m;1560;2578
102;Primer estany de Montmantell;Valls del Comapedrosa;COMPLEX;5.4km;1061m;SO+S;Edificis de Prats Sobirans, a 1.560 m;Primer estany de Montmantell, a 2630 m;1560;2630
103;Refugi d'Ensagents;Cortals d'Encamp;SIMPLE;3.7km;535m;N+O;Carretera dels Cortals d’Encamp (km 6, a 1.887 m). Estacionarem el vehicle al costat de la carretera, en un lloc que no molesti;Refugi d’Ensagents, a 2425 m;1887;2425
104;Refugi de Cabana Sorda;Vall d'Incles i Siscaró;CHALLENGING;3.6km;537m;S;Pàrquing de la vall d'Incles, a 1.750m;Refugi de Cabana Sorda, a 2.293m;1750;2293
105;Refugi de Cabana Sorda;Entor;SIMPLE;4.8km;541m;S+SE;Borda del Marticella, a 1.940m;Refugi de Cabana Sorda, a 2.293m;1940;2293
106;Refugi de Cóms de Jan;Ransol;CHALLENGING;2.1km;329m;S+SO;Final carretera, a 1.953m;Refugi de Cóms de Jan, a 2.116m;1953;2116
107;Refugi de Fontverd;Valls de Madriu, Perafita i Claror;CHALLENGING;4.1km;650m;S+O;Encreuament de la carretera CS200 Amb la carretera CS101, a 1.232 m;Refugi de Fontverd, a 1.871 m;1232;1871
