route_index_global,rating_neu,rating_perill,rating_vent,rating_final
0,0,2,SE,0.0
1,5,2,W,1.5
2,5,1,W,0.5
3,5,2,,2.0
4,5,3,S+SE,2.5
5,5,2,SW+W,1.5
6,5,1,S+SE,0.5
7,5,4,,4.0
8,5,2,,2.0
9,5,3,,3.0
10,5,1,,1.0
11,0,2,S+E+W,0.0
12,5,3,S,2.5
13,0,1,W+SW,0.0
14,5,3,,3.0
15,5,2,S+SW,1.5
16,5,2,S+SE+E,1.5
17,5,2,E,1.5
18,5,2,S+SE,1.5
19,5,3,E,2.5
20,5,2,S+E,1.5
21,0,1,S+E+W,0.0
22,5,2,S+E+W,1.5
23,5,2,W,1.5
24,5,1,,1.0
25,5,2,SE+S,1.5
26,0,1,SE,0.0
27,5,4,,4.0
28,5,1,W,0.5
29,0,3,SW+W,0.0
30,0,1,SE,0.0
31,5,1,W,0.5
32,0,2,E+S,0.0
33,5,3,,3.0
34,0,2,S,0.0
35,0,2,SE,0.0
36,0,1,,0.0
37,5,2,SE,1.5
38,0,2,E+S,0.0
39,0,2,S+W,0.0
40,0,1,S+W,0.0
41,5,2,,2.0
42,5,1,,1.0
43,0,1,,0.0
44,5,2,,2.0
45,0,2,E+S,0.0
46,5,2,E+S,1.5
47,5,2,SW,1.5
48,5,1,W,0.5
49,5,2,S,1.5
50,0,1,SW+W,0.0
51,5,2,S+SW,1.5
52,5,1,,1.0
53,5,2,S+SW,1.5
54,5,2,W,1.5
55,5,2,S+SE,1.5
56,0,2,S+SE,0.0
57,5,1,W+SW,0.5
58,5,2,S+W,1.5
59,0,1,W+SW,0.0
60,5,1,SW,0.5
61,5,2,S+SE+SW,1.5
62,5,2,S,1.5
63,5,2,S+SE,1.5
64,0,2,S+W+SW,0.0
65,5,2,S+SW,1.5
66,5,1,,1.0
67,5,2,W,1.5
68,5,1,,1.0
69,5,2,S+W,1.5
70,0,2,S+SW+W,0.0
71,0,2,S+SE,0.0
72,0,2,E+S,0.0
73,5,2,S+SE,1.5
74,5,1,E,0.5
75,0,1,W,0.0
76,0,2,S,0.0
77,5,1,S+SE,0.5
78,0,2,E+SE+SW,0.0
79,5,2,S+SE,1.5
80,0,2,S,0.0
81,0,2,S+SE,0.0
82,5,2,,2.0
83,5,2,W,1.5
84,5,2,S+SE+SW,1.5
85,5,3,SW,2.5
86,0,2,S+SE+SW,0.0
87,5,2,W,1.5
88,0,1,W+SW,0.0
89,5,1,S+SW,0.5
90,5,1,,1.0
91,5,2,SE,1.5
92,5,3,S,2.5
93,5,2,E+S,1.5
94,5,4,,4.0
95,0,3,S+W,0.0
96,5,2,SW+W,1.5
97,5,2,S+W,1.5
98,0,1,SE,0.0
99,0,1,SE,0.0
100,5,2,W+SW,1.5
101,0,2,E,0.0
102,0,2,S+SW,0.0
103,5,3,W,2.5
104,0,3,S,0.0
105,5,4,S+SE,3.5
106,5,3,S+SW,2.5
107,0,3,S+W,0.0
108,0,1,S,0.0
109,5,2,S+W,1.5
110,5,3,S+SW,2.5
111,5,1,S,0.5
112,0,3,E,0.0
113,0,3,S+E+SW,0.0
114,5,4,,4.0
115,0,2,E+SE,0.0
116,5,3,,3.0
117,5,2,S+E+W,1.5
118,5,1,W,0.5
119,5,1,S,0.5
120,5,1,S+W,0.5
